source_ref,target_ref,relation,confidence,note,element_text
AA.I.A.K7,seaplane,explanation,auto,from the Task A References line,"Electrical system–alternators, generators, batteries, circuit breakers and protection devices, controls, indicators, and external and auxiliary power sources and ratings."
AA.I.A.K8,ac-120-76e,guidance,auto,from the Task A References line,"Pneumatic and environmental systems–heating, cooling, ventilation, oxygen, pressurization, supply for ice protection systems, controls, indicators, and regulating devices."
AA.I.A.K8,ac-91-78a,guidance,auto,from the Task A References line,"Pneumatic and environmental systems–heating, cooling, ventilation, oxygen, pressurization, supply for ice protection systems, controls, indicators, and regulating devices."
AA.I.A.K8,afh,explanation,auto,from the Task A References line,"Pneumatic and environmental systems–heating, cooling, ventilation, oxygen, pressurization, supply for ice protection systems, controls, indicators, and regulating devices."
AA.I.A.K8,risk-management,explanation,auto,from the Task A References line,"Pneumatic and environmental systems–heating, cooling, ventilation, oxygen, pressurization, supply for ice protection systems, controls, indicators, and regulating devices."
AA.I.A.K8,seaplane,explanation,auto,from the Task A References line,"Pneumatic and environmental systems–heating, cooling, ventilation, oxygen, pressurization, supply for ice protection systems, controls, indicators, and regulating devices."
AA.I.A.K9,ac-120-76e,guidance,auto,from the Task A References line,"Avionics and communications–autopilot, flight director, Electronic Flight Instrument Systems (EFIS), Flight Management System (FMS), Electronic Flight Bag (EFB), Radar, Inertial Navigation Systems (INS), Global Navigation Satellite System (GNSS), Space-Based Augmentation System (SBAS), Ground-Based "
AA.I.A.K9,ac-91-78a,guidance,auto,from the Task A References line,"Avionics and communications–autopilot, flight director, Electronic Flight Instrument Systems (EFIS), Flight Management System (FMS), Electronic Flight Bag (EFB), Radar, Inertial Navigation Systems (INS), Global Navigation Satellite System (GNSS), Space-Based Augmentation System (SBAS), Ground-Based "
AA.I.A.K9,afh,explanation,auto,from the Task A References line,"Avionics and communications–autopilot, flight director, Electronic Flight Instrument Systems (EFIS), Flight Management System (FMS), Electronic Flight Bag (EFB), Radar, Inertial Navigation Systems (INS), Global Navigation Satellite System (GNSS), Space-Based Augmentation System (SBAS), Ground-Based "
AA.I.A.K9,risk-management,explanation,auto,from the Task A References line,"Avionics and communications–autopilot, flight director, Electronic Flight Instrument Systems (EFIS), Flight Management System (FMS), Electronic Flight Bag (EFB), Radar, Inertial Navigation Systems (INS), Global Navigation Satellite System (GNSS), Space-Based Augmentation System (SBAS), Ground-Based "
AA.I.A.K9,seaplane,explanation,auto,from the Task A References line,"Avionics and communications–autopilot, flight director, Electronic Flight Instrument Systems (EFIS), Flight Management System (FMS), Electronic Flight Bag (EFB), Radar, Inertial Navigation Systems (INS), Global Navigation Satellite System (GNSS), Space-Based Augmentation System (SBAS), Ground-Based "
AA.I.A.R1,ac-120-76e,guidance,auto,from the Task A References line,Detection of system malfunctions or failures.
AA.I.A.R1,ac-91-78a,guidance,auto,from the Task A References line,Detection of system malfunctions or failures.
AA.I.A.R1,afh,explanation,auto,from the Task A References line,Detection of system malfunctions or failures.
AA.I.A.R1,risk-management,explanation,auto,from the Task A References line,Detection of system malfunctions or failures.
AA.I.A.R1,seaplane,explanation,auto,from the Task A References line,Detection of system malfunctions or failures.
AA.I.A.R2,ac-120-76e,guidance,auto,from the Task A References line,Management of a system failure.
